2023-01-18 14:15:39,232 INFO    StreamThr :5747 [internal.py:wandb_internal():87] W&B internal server running at pid: 5747, started at: 2023-01-18 14:15:39.232086
2023-01-18 14:15:39,235 DEBUG   HandlerThread:5747 [handler.py:handle_request():144] handle_request: status
2023-01-18 14:15:39,247 INFO    WriterThread:5747 [datastore.py:open_for_write():85] open: /home/runner/nanoGPT-in-Replit/wandb/run-20230118_141539-mgsa1shb/run-mgsa1shb.wandb
2023-01-18 14:15:39,248 DEBUG   SenderThread:5747 [sender.py:send():334] send: header
2023-01-18 14:15:39,250 DEBUG   SenderThread:5747 [sender.py:send():334] send: run
2023-01-18 14:15:39,446 INFO    SenderThread:5747 [dir_watcher.py:__init__():216] watching files in: /home/runner/nanoGPT-in-Replit/wandb/run-20230118_141539-mgsa1shb/files
2023-01-18 14:15:39,446 INFO    SenderThread:5747 [sender.py:_start_run_threads():1065] run started: mgsa1shb with start time 1674051339.232985
2023-01-18 14:15:39,447 DEBUG   SenderThread:5747 [sender.py:send_request():361] send_request: summary_record
2023-01-18 14:15:39,447 INFO    SenderThread:5747 [sender.py:_save_file():1319] saving file wandb-summary.json with policy end
2023-01-18 14:15:39,448 DEBUG   HandlerThread:5747 [handler.py:handle_request():144] handle_request: check_version
2023-01-18 14:15:39,448 DEBUG   SenderThread:5747 [sender.py:send_request():361] send_request: check_version
2023-01-18 14:15:39,543 DEBUG   HandlerThread:5747 [handler.py:handle_request():144] handle_request: run_start
2023-01-18 14:15:39,551 DEBUG   HandlerThread:5747 [system_info.py:__init__():31] System info init
2023-01-18 14:15:39,551 DEBUG   HandlerThread:5747 [system_info.py:__init__():46] System info init done
2023-01-18 14:15:39,551 INFO    HandlerThread:5747 [system_monitor.py:start():151] Starting system monitor
2023-01-18 14:15:39,551 INFO    SystemMonitor:5747 [system_monitor.py:_start():116] Starting system asset monitoring threads
2023-01-18 14:15:39,552 INFO    HandlerThread:5747 [system_monitor.py:probe():172] Collecting system info
2023-01-18 14:15:39,552 INFO    SystemMonitor:5747 [interfaces.py:start():168] Started cpu
2023-01-18 14:15:39,553 INFO    SystemMonitor:5747 [interfaces.py:start():168] Started disk
2023-01-18 14:15:39,555 INFO    SystemMonitor:5747 [interfaces.py:start():168] Started gpu
2023-01-18 14:15:39,555 INFO    SystemMonitor:5747 [interfaces.py:start():168] Started memory
2023-01-18 14:15:39,556 INFO    SystemMonitor:5747 [interfaces.py:start():168] Started network
2023-01-18 14:15:39,565 DEBUG   HandlerThread:5747 [system_info.py:probe():195] Probing system
2023-01-18 14:15:39,577 DEBUG   HandlerThread:5747 [git.py:repo():40] git repository is invalid
2023-01-18 14:15:39,577 DEBUG   HandlerThread:5747 [system_info.py:probe():241] Probing system done
